"sample_submitter_id","MUC1","MUC12","MUC12-AS1","MUC13","MUC15","MUC16","MUC17","MUC19","MUC2","MUC20","MUC20-OT1","MUC20P1","MUC21","MUC22","MUC3A","MUC4","MUC5AC","MUC5B","MUC5B-AS1","MUC6","MUC7","MUCL1","MUCL3"
"TCGA-QL-A97D-01A",191.983,4.8976,2.6406,914.7885,0,0.0077,31.2146,0,87.3521,53.5924,10.1524,10.0755,0.0354,0,28.3097,28.4612,0.1001,1.3652,0,0.0955,0,0.203,0.0355
"TCGA-AA-A02Y-01A",251.8939,17.6388,1.7972,531.5939,0,0.0024,56.5442,0.0018,342.0469,17.3321,0.6591,17.354,0,0,24.2903,9.5569,0.1168,16.151,0,0.0186,0,0.0395,0
"TCGA-F4-6809-01A",29.8294,13.7867,1.4198,368.1267,0.0161,0.0053,0.468,0.0039,28.5524,35.2522,2.5512,10.2843,0.2438,0,21.6971,3.8045,0.096,36.9333,0,0.0685,0.0207,0,0.061
"TCGA-QG-A5YW-01A",108.8536,51.3896,10.793,491.8762,0.0272,0.0122,1.3952,0.0017,71.9234,17.1189,2.7512,6.5078,0.0257,0,15.6627,37.2127,2.2714,20.1526,0,2.2154,0,0.0983,0.0172
"TCGA-CM-4746-01A",106.3117,1.8774,12.745,412.9818,0,0.0148,1.3504,0.022,435.9792,9.4457,0.3537,4.3227,0,0,28.9834,10.5614,1.1446,108.894,0,0.7377,0.0927,0.0653,0
"TCGA-DM-A280-01A",378.9152,11.7694,3.5287,665.9071,0.0572,0.0016,136.2006,0.0023,530.8708,15.3142,0.4741,45.6333,0,0,38.2812,16.3319,1.074,137.7265,0,8.8829,0.0244,0.0344,0.0843
"TCGA-AZ-4682-01B",54.7864,70.6772,5.4632,460.3979,0,0,2.6521,0,164.0994,38.6846,2.0941,15.3197,0.044,0,40.4616,6.6665,0.1083,10.2041,0,0,0,0,0.0391
"TCGA-F4-6570-01A",305.8017,0.4057,2.8458,1074.406,0,0.0248,33.5572,0,3.8804,1.0376,1.1065,0.1724,0,0,25.6952,0.0517,24.8025,198.198,0,33.6733,0,0,0.7518
"TCGA-CK-5915-01A",103.6616,52.5887,1.1412,432.7246,0,0,0.0759,0.0032,5.8299,56.6686,5.6423,19.5179,0,0,28.8793,0.5568,0.3567,1.848,0,0.044,0.2988,0.0234,0
"TCGA-AA-3560-01A",59.1641,76.0613,3.3592,581.5625,0,0.3236,1.8843,0.0174,228.8719,37.9191,1.2333,13.5295,0,0,58.8607,10.8371,0.9991,4.1627,0,0.1215,0,0.043,0
"TCGA-CM-6674-01A",603.5666,1.7046,2.6409,713.4985,0,0.0041,3.6882,0,2109.1788,10.245,0.5955,4.9051,0,0,37.2952,34.915,2.3717,211.8685,0,0.0212,0,0.0226,0.2207
"TCGA-AA-3980-01A",64.0687,6.868,1.2623,567.817,0,0.0293,0.2972,0.0044,35.8938,10.4824,4.4591,4.587,0,0,26.9587,2.5173,0.0663,1.395,0,0,0.0459,0,0
"TCGA-G4-6299-01A",93.0391,0.8907,3.2074,63.2376,0,0.0558,1.5992,0.0028,0.4702,16.5397,2.9485,17.2405,0,0,26.7905,1.5098,0.159,3.7289,0,0.174,0,0,0.0287
"TCGA-AZ-6600-01A",75.6449,17.8476,1.6366,493.6466,0,0.0015,75.579,0,316.4218,34.0978,2.2065,11.0616,0,0,39.5519,10.1079,0.21,10.8374,0,0.0632,0.3333,0.1174,0.1055
"TCGA-NH-A50V-01A",161.7709,8.9092,1.3695,449.3088,0,0.0178,0.0948,0.0019,258.7505,20.7729,4.8078,4.7113,0.0588,0,27.7377,33.1849,0.6229,17.1432,0,0.251,0.0199,0.0281,0.0098
"TCGA-AA-3870-01A",45.2374,3.9692,11.9077,378.5359,0,0.0488,34.0711,0,40.0607,24.5596,1.0286,9.3331,0,0,35.6354,23.2925,11.4455,6.2081,0,0.5068,0,0,2.0575
"TCGA-AD-5900-01A",80.3888,2.0348,2.3319,743.2424,0,0.2224,77.2883,0.0088,1314.2292,32.4065,2.26,14.123,0.0227,0,38.6269,20.4358,0.9741,73.4002,0,12.2086,0,0,0.896
"TCGA-F4-6807-01A",73.4174,12.8378,1.4283,541.9355,0,0.2046,0.1922,0.0028,9.7491,13.981,3.4825,3.5098,0.0219,0.0138,19.2826,6.8268,0.0857,4.3538,0,0.0591,0.0594,0,0.0439
